********
********
***X****
***XX***
***XO***
********
********
********
Node,Depth,Value
root,0,-Infinity
d3,1,Infinity
c3,2,-Infinity
b3,3,7
c3,2,7
c4,3,1
c3,2,7
f5,3,1
c3,2,7
e6,3,1
c3,2,7
d3,1,7
e3,2,-Infinity
f2,3,4
e3,2,4
f3,3,15
e3,2,15
f4,3,4
e3,2,15
f5,3,4
e3,2,15
f6,3,7
e3,2,15
d3,1,7
c5,2,-Infinity
b6,3,4
c5,2,4
c6,3,7
c5,2,7
d6,3,4
c5,2,7
e6,3,4
c5,2,7
f6,3,7
c5,2,7
d3,1,7
root,0,7
c4,1,Infinity
c3,2,-Infinity
c2,3,7
c3,2,7
d3,3,1
c3,2,7
f5,3,1
c3,2,7
e6,3,1
c3,2,7
c4,1,7
e3,2,-Infinity
f2,3,4
e3,2,4
f3,3,7
e3,2,7
f4,3,4
e3,2,7
f5,3,4
e3,2,7
f6,3,7
e3,2,7
c4,1,7
c5,2,-Infinity
b6,3,4
c5,2,4
c6,3,15
c5,2,15
d6,3,4
c5,2,15
e6,3,4
c5,2,15
f6,3,7
c5,2,15
c4,1,7
root,0,7
f5,1,Infinity
f4,2,-Infinity
c3,3,7
f4,2,7
d3,3,4
f4,2,7
e3,3,4
f4,2,7
f3,3,15
f4,2,15
g3,3,4
f4,2,15
f5,1,15
d6,2,-Infinity
c3,3,7
d6,2,7
c4,3,4
d6,2,7
c5,3,4
d6,2,7
c6,3,7
d6,2,7
c7,3,4
d6,2,7
f5,1,7
f6,2,-Infinity
d3,3,1
f6,2,1
c4,3,1
f6,2,1
e6,3,1
f6,2,1
f7,3,7
f6,2,7
f5,1,7
root,0,7
e6,1,Infinity
f4,2,-Infinity
c3,3,7
f4,2,7
d3,3,4
f4,2,7
e3,3,4
f4,2,7
f3,3,7
f4,2,7
g3,3,4
f4,2,7
e6,1,7
d6,2,-Infinity
c3,3,7
d6,2,7
c4,3,4
d6,2,7
c5,3,4
d6,2,7
c6,3,15
d6,2,15
c7,3,4
d6,2,15
e6,1,7
f6,2,-Infinity
d3,3,1
f6,2,1
c4,3,1
f6,2,1
f5,3,1
f6,2,1
g6,3,7
f6,2,7
e6,1,7
root,0,7
